employee_id,employee_code,full_name,date_of_birth,gender,place_of_birth,ethnicity,religion,marital_status,phone_number,personal_email,company_email,password_hash,permanent_address,current_address,nationality_id,avatar_url,bank_account,bank_id,bank_branch,emergency_contact_name,emergency_contact_phone,emergency_contact_relation,status,hire_date,seniority_start_date,base_leave_days,last_seniority_calc,resignation_date,created_at,updated_at,created_by,updated_by
20,NV0020,"Nguyễn Hoàng Nam",1994-04-30,NAM,TP.HCM,Kinh,"Ph?t gi?o",??C_TH?N,0901234568,nam.nguyenhoang@gmail.com,nam.nh@company.com,,"S? 20, ???ng AP, Q.1, TP.HCM","S? 200, ???ng AQ, Q.1, TP.HCM",1,,234567890,10,"Chi nh?nh TP.HCM","Nguy?n Th? Mai",0798765432,M?,ĐANG_LÀM_VIỆC,2018-01-08,2018-01-08,12.00,,,"2026-04-15 01:44:34","2026-04-23 12:23:12",,
21,NV0021,"Tr???n Minh Tu???n",1991-03-12,NAM,"H?? N???i",Kinh,Kh??ng,??_K?T_H?N,0911000021,tuan.tm@gmail.com,tuan.tm@company.com,,"H?? N???i","Q.C???u Gi???y, H?? N???i",1,,1100000021,1,"CN H?? N???i","Tr???n Th??? Hoa",0911100021,V???,ĐANG_LÀM_VIỆC,2019-02-01,2019-02-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
22,NV0022,"Nguy???n Th??? H???ng",1993-07-22,N?,"H???i D????ng",Kinh,Kh??ng,??C_TH?N,0911000022,hang.nt@gmail.com,hang.nt@company.com,,"H???i D????ng","Q.?????ng ??a, H?? N???i",1,,1100000022,2,"CN HN","Nguy???n V??n B??nh",0911100022,B???,ĐANG_LÀM_VIỆC,2020-06-15,2020-06-15,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
23,NV0023,"Ph???m Qu???c B???o",1988-11-05,NAM,"Ngh??? An",Kinh,Kh??ng,??_K?T_H?N,0911000023,bao.pq@gmail.com,bao.pq@company.com,,"Ngh??? An","Q.Thanh Xu??n, H?? N???i",1,,1100000023,3,"CN HN","L?? Th??? Mai",0911100023,V???,ĐANG_LÀM_VIỆC,2017-03-01,2017-03-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
24,NV0024,"L?? Th??? Ph????ng",1995-01-18,N?,"H?? N???i",Kinh,"Ph???t gi??o",??C_TH?N,0911000024,phuong.lt@gmail.com,phuong.lt@company.com,,"H?? N???i","Q.Ba ????nh, H?? N???i",1,,1100000024,4,"CN HN","L?? V??n D??ng",0911100024,B???,ĐANG_LÀM_VIỆC,2021-09-01,2021-09-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
25,NV0025,"V?? ?????c Th???ng",1990-06-30,NAM,"Nam ?????nh",Kinh,Kh??ng,??_K?T_H?N,0911000025,thang.vd@gmail.com,thang.vd@company.com,,"Nam ?????nh","Q.Ho??ng Mai, H?? N???i",1,,1100000025,5,"CN HN","Nguy???n Th??? Lan",0911100025,V???,ĐANG_LÀM_VIỆC,2018-11-01,2018-11-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
26,NV0026,"????? Th??? Ng??n",1994-09-14,N?,"Th??i B??nh",Kinh,Kh??ng,??C_TH?N,0911000026,ngan.dt@gmail.com,ngan.dt@company.com,,"Th??i B??nh","Q.Long Bi??n, H?? N???i",1,,1100000026,6,"CN HN","????? V??n H??ng",0911100026,B???,ĐANG_LÀM_VIỆC,2022-01-10,2022-01-10,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
27,NV0027,"Ho??ng Anh D??ng",1987-04-25,NAM,"Thanh H??a",Kinh,Kh??ng,??_K?T_H?N,0911000027,dung.ha@gmail.com,dung.ha@company.com,,"Thanh H??a","Q.T??y H???, H?? N???i",1,,1100000027,7,"CN HN","Tr???n Th??? Nhung",0911100027,V???,ĐANG_LÀM_VIỆC,2015-07-01,2015-07-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
28,NV0028,"Mai V??n H??ng",1992-12-08,NAM,"H?? N???i",Kinh,Kh??ng,??_K?T_H?N,0911000028,hung.mv@gmail.com,hung.mv@company.com,,"H?? N???i","Q.Hai B?? Tr??ng, H?? N???i",1,,1100000028,8,"CN HN","L?? Th??? H????ng",0911100028,V???,ĐANG_LÀM_VIỆC,2023-03-01,2023-03-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
29,NV0029,"Tr???nh Th??? Loan",1996-08-17,N?,"V??nh Ph??c",Kinh,Kh??ng,??C_TH?N,0911000029,loan.tt@gmail.com,loan.tt@company.com,,"V??nh Ph??c","Q.Nam T??? Li??m, H?? N???i",1,,1100000029,9,"CN HN","Tr???nh V??n T??ng",0911100029,B???,THỬ_VIỆC,2024-02-15,2024-02-15,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
30,NV0030,"Ng?? Xu??n Tr?????ng",1989-02-28,NAM,"Ph?? Th???",Kinh,Kh??ng,??_K?T_H?N,0911000030,truong.nx@gmail.com,truong.nx@company.com,,"Ph?? Th???","Q.B???c T??? Li??m, H?? N???i",1,,1100000030,10,"CN HN","Ph???m Th??? H??a",0911100030,V???,ĐANG_LÀM_VIỆC,2016-05-01,2016-05-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
31,NV0031,"Phan Th??? Kim Oanh",1986-05-20,N?,TP.HCM,Kinh,Kh??ng,??_K?T_H?N,0911000031,oanh.ptk@gmail.com,oanh.ptk@company.com,,TP.HCM,"Q.1, TP.HCM",1,,1100000031,1,"CN HCM","Nguy???n V??n T??m",0911100031,Ch???ng,ĐANG_LÀM_VIỆC,2011-01-15,2011-01-15,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
32,NV0032,"L?? Ho??ng V??",1991-10-03,NAM,"?????ng Nai",Kinh,Kh??ng,??_K?T_H?N,0911000032,vu.lh@gmail.com,vu.lh@company.com,,"?????ng Nai","Q.3, TP.HCM",1,,1100000032,2,"CN HCM","Tr???n Th??? Hi???n",0911100032,V???,ĐANG_LÀM_VIỆC,2018-04-01,2018-04-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
33,NV0033,"B??i Th??? Thanh H??",1993-06-15,N?,"B??nh D????ng",Kinh,Kh??ng,??C_TH?N,0911000033,ha.btt@gmail.com,ha.btt@company.com,,"B??nh D????ng","Q.B??nh Th???nh, TP.HCM",1,,1100000033,3,"CN HCM","B??i V??n Nam",0911100033,B???,ĐANG_LÀM_VIỆC,2019-08-01,2019-08-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
34,NV0034,"?????ng V??n L???c",1990-01-27,NAM,TP.HCM,Kinh,Kh??ng,??_K?T_H?N,0911000034,loc.dv@gmail.com,loc.dv@company.com,,TP.HCM,"Q.T??n B??nh, TP.HCM",1,,1100000034,4,"CN HCM","L?? Th??? Ng???c",0911100034,V???,ĐANG_LÀM_VIỆC,2017-12-01,2017-12-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
35,NV0035,"V?? Th??? B??ch Ng???c",1995-04-09,N?,"Kh??nh H??a",Kinh,Kh??ng,??C_TH?N,0911000035,ngoc.vtb@gmail.com,ngoc.vtb@company.com,,"Kh??nh H??a","Q.G?? V???p, TP.HCM",1,,1100000035,5,"CN HCM","V?? V??n Ph??c",0911100035,B???,ĐANG_LÀM_VIỆC,2021-03-15,2021-03-15,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
36,NV0036,"Tr????ng Qu???c Huy",1988-08-11,NAM,"Long An",Kinh,Kh??ng,??_K?T_H?N,0911000036,huy.tq@gmail.com,huy.tq@company.com,,"Long An","Q.7, TP.HCM",1,,1100000036,6,"CN HCM","Ph???m Th??? Linh",0911100036,V???,ĐANG_LÀM_VIỆC,2014-06-01,2014-06-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
37,NV0037,"Hu???nh Minh Ch??u",1994-12-23,N?,"Ti???n Giang",Kinh,"Ph???t gi??o",??C_TH?N,0911000037,chau.hm@gmail.com,chau.hm@company.com,,"Ti???n Giang","Q.Ph?? Nhu???n, TP.HCM",1,,1100000037,7,"CN HCM","Hu???nh V??n T??i",0911100037,B???,ĐANG_LÀM_VIỆC,2020-01-06,2020-01-06,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
38,NV0038,"Nguy???n ????nh Khoa",1992-03-19,NAM,"B?? R???a",Kinh,Kh??ng,??_K?T_H?N,0911000038,khoa.nd@gmail.com,khoa.nd@company.com,,"B?? R???a","Q.2, TP.HCM",1,,1100000038,8,"CN HCM","Tr???n Th??? H???nh",0911100038,V???,ĐANG_LÀM_VIỆC,2016-09-01,2016-09-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
39,NV0039,"L?? Qu???nh Nh??",1997-07-04,N?,"???? L???t",Kinh,Kh??ng,??C_TH?N,0911000039,nhu.lq@gmail.com,nhu.lq@company.com,,"L??m ?????ng","Q.Th??? ?????c, TP.HCM",1,,1100000039,9,"CN HCM","L?? V??n Trung",0911100039,B???,THỬ_VIỆC,2024-01-08,2024-01-08,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
40,NV0040,"Cao Minh ?????c",1989-09-16,NAM,"C???n Th??",Kinh,Kh??ng,??_K?T_H?N,0911000040,duc.cm@gmail.com,duc.cm@company.com,,"C???n Th??","Q.10, TP.HCM",1,,1100000040,10,"CN HCM","Nguy???n Th??? Mai",0911100040,V???,ĐANG_LÀM_VIỆC,2015-02-01,2015-02-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
41,NV0041,"Tr???n Th??? Di???u Linh",1996-11-28,N?,TP.HCM,Kinh,Kh??ng,??C_TH?N,0911000041,linh.ttd@gmail.com,linh.ttd@company.com,,TP.HCM,"Q.5, TP.HCM",1,,1100000041,1,"CN HCM","Tr???n V??n ????ng",0911100041,B???,ĐANG_LÀM_VIỆC,2022-07-01,2022-07-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
42,NV0042,"Nguy???n H???u Th??nh",1990-02-14,NAM,"???? N???ng",Kinh,Kh??ng,??_K?T_H?N,0911000042,thanh.nh@gmail.com,thanh.nh@company.com,,"???? N???ng","Q.H???i Ch??u, ???? N???ng",1,,1100000042,2,"CN ??N","Ph???m Th??? Huy???n",0911100042,V???,ĐANG_LÀM_VIỆC,2016-03-01,2016-03-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
43,NV0043,"Ph???m Th??? M??? Duy??n",1992-08-30,N?,Hu???,Kinh,"Ph???t gi??o",??C_TH?N,0911000043,duyen.ptm@gmail.com,duyen.ptm@company.com,,Hu???,"Q.S??n Tr??, ???? N???ng",1,,1100000043,3,"CN ??N","Ph???m V??n Long",0911100043,B???,ĐANG_LÀM_VIỆC,2018-05-15,2018-05-15,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
44,NV0044,"L?? Tr???ng Ngh??a",1988-04-07,NAM,"Qu???ng Nam",Kinh,Kh??ng,??_K?T_H?N,0911000044,nghia.lt@gmail.com,nghia.lt@company.com,,"Qu???ng Nam","Q.Thanh Kh??, ???? N???ng",1,,1100000044,4,"CN ??N","Tr???n Th??? T??",0911100044,V???,ĐANG_LÀM_VIỆC,2014-01-01,2014-01-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
45,NV0045,"Tr???n Th??? Y???n Nhi",1995-10-21,N?,"???? N???ng",Kinh,Kh??ng,??C_TH?N,0911000045,nhi.tty@gmail.com,nhi.tty@company.com,,"???? N???ng","Q.Ng?? H??nh S??n, ???? N???ng",1,,1100000045,5,"CN ??N","Tr???n V??n S??n",0911100045,B???,ĐANG_LÀM_VIỆC,2020-09-01,2020-09-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
46,NV0046,"V??n C??ng Danh",1991-06-13,NAM,"Qu???ng Ng??i",Kinh,Kh??ng,??_K?T_H?N,0911000046,danh.vc@gmail.com,danh.vc@company.com,,"Qu???ng Ng??i","Q.Li??n Chi???u, ???? N???ng",1,,1100000046,6,"CN ??N","L?? Th??? Hoa",0911100046,V???,ĐANG_LÀM_VIỆC,2017-07-01,2017-07-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
47,NV0047,"??o??n Th??? H???nh",1993-12-02,N?,"B??nh ?????nh",Kinh,Kh??ng,??C_TH?N,0911000047,hanh.dt@gmail.com,hanh.dt@company.com,,"B??nh ?????nh","Q.C???m L???, ???? N???ng",1,,1100000047,7,"CN ??N","??o??n V??n Phong",0911100047,B???,ĐANG_LÀM_VIỆC,2019-04-01,2019-04-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
48,NV0048,"L??m Qu???c Vi???t",1989-05-25,NAM,"Ph?? Y??n",Kinh,Kh??ng,??_K?T_H?N,0911000048,viet.lq@gmail.com,viet.lq@company.com,,"Ph?? Y??n","Q.H???i Ch??u, ???? N???ng",1,,1100000048,8,"CN ??N","Nguy???n Th??? Th???o",0911100048,V???,ĐANG_LÀM_VIỆC,2015-10-01,2015-10-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
49,NV0049,"??inh H???ng Ph??c",1994-09-08,NAM,"???? N???ng",Kinh,Kh??ng,??C_TH?N,0911000049,phuc.dh@gmail.com,phuc.dh@company.com,,"???? N???ng","Q.Thanh Kh??, ???? N???ng",1,,1100000049,9,"CN ??N","??inh V??n Tu???n",0911100049,B???,ĐANG_LÀM_VIỆC,2021-06-01,2021-06-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
50,NV0050,"T??? Th??? Kim Ph?????ng",1996-03-17,N?,"Kh??nh H??a",Kinh,Kh??ng,??C_TH?N,0911000050,phuong.ttk@gmail.com,phuong.ttk@company.com,,"Kh??nh H??a","Q.S??n Tr??, ???? N???ng",1,,1100000050,10,"CN ??N","T??? V??n Ho??ng",0911100050,B???,ĐANG_LÀM_VIỆC,2022-11-01,2022-11-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
51,NV0051,"H?? ?????c M???nh",1987-01-09,NAM,"Qu???ng Tr???",Kinh,Kh??ng,??_K?T_H?N,0911000051,manh.hd@gmail.com,manh.hd@company.com,,"Qu???ng Tr???","Q.H???i Ch??u, ???? N???ng",1,,1100000051,1,"CN ??N","L?? Th??? Thanh",0911100051,V???,ĐANG_LÀM_VIỆC,2013-08-01,2013-08-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
52,NV0052,"Ung Th??? Th??y Trang",1998-07-14,N?,Hu???,Kinh,"Ph???t gi??o",??C_TH?N,0911000052,trang.utt@gmail.com,trang.utt@company.com,,Hu???,"Q.Ng?? H??nh S??n, ???? N???ng",1,,1100000052,2,"CN ??N","Ung V??n Ki??n",0911100052,B???,THỬ_VIỆC,2024-02-01,2024-02-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
53,NV0053,"Chu Thanh T??ng",1991-11-23,NAM,"Gia Lai",Kinh,"Thi??n ch??a gi??o",??_K?T_H?N,0911000053,tung.ct@gmail.com,tung.ct@company.com,,"Gia Lai","Q.Li??n Chi???u, ???? N???ng",1,,1100000053,3,"CN ??N","Tr???n Th??? Ph?????ng",0911100053,V???,ĐANG_LÀM_VIỆC,2019-01-15,2019-01-15,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
54,NV0054,"Nguy???n Ti???n ?????t",1993-05-11,NAM,"H?? N???i",Kinh,Kh??ng,??C_TH?N,0911000054,dat.nt@gmail.com,dat.nt@company.com,,"H?? N???i","Q.C???u Gi???y, H?? N???i",1,,1100000054,4,"CN HN","Nguy???n Th??? Hoa",0911100054,M???,ĐANG_LÀM_VIỆC,2019-06-01,2019-06-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
55,NV0055,"Tr???n Quang H??ng",1990-10-26,NAM,"H???i Ph??ng",Kinh,Kh??ng,??_K?T_H?N,0911000055,hung.tq@gmail.com,hung.tq@company.com,,"H???i Ph??ng","Q.?????ng ??a, H?? N???i",1,,1100000055,5,"CN HN","L?? Th??? V??n",0911100055,V???,ĐANG_LÀM_VIỆC,2017-02-01,2017-02-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
56,NV0056,"Ph???m Ng???c Anh",1995-08-15,N?,"H?? N???i",Kinh,Kh??ng,??C_TH?N,0911000056,anh.pn@gmail.com,anh.pn@company.com,,"H?? N???i","Q.Thanh Xu??n, H?? N???i",1,,1100000056,6,"CN HN","Ph???m V??n ?????c",0911100056,B???,ĐANG_LÀM_VIỆC,2021-01-11,2021-01-11,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
57,NV0057,"L?? B?? Phong",1988-03-04,NAM,"Nam ?????nh",Kinh,Kh??ng,??_K?T_H?N,0911000057,phong.lb@gmail.com,phong.lb@company.com,,"Nam ?????nh","Q.Ho??ng Mai, H?? N???i",1,,1100000057,7,"CN HN","Nguy???n Th??? Nga",0911100057,V???,ĐANG_LÀM_VIỆC,2015-09-01,2015-09-01,12.00,,,"2026-04-16 23:50:32","2026-04-23 12:23:13",,
